"dep_com","idp_refugie_last_month","idp_refugie_3_months","food_access_no","mean_existence_access_no","market_access","security_feeling_no","health_access_no","education_access_no","diff_info_access","diff_info_access_no","nutri_programme","enough_water_access_no","pdi_vivant_cond_adeq_no","abris_dommages","procuration_savon","tel_mobile","settlement_assessed_num","ki_num","localiteName_fr","localiteRefName","com_loc","admin3Name_fr","admin3Pcode","admin3RefName","admin2Name_fr","admin2Pcode","admin2RefName","admin1Name_fr","admin1Pcode","admin1RefName","admin0Name_fr","admin0Pcode","admin0RefName","POINT_X","POINT_Y","settlement_com_num","reg_dep","pay_reg","geometry","dep_percentage"
"Loroum_Banh",0.142857142857143,0.142857142857143,0.857142857142857,1,0.285714285714286,0.857142857142857,0.285714285714286,1,0.428571428571429,0.571428571428571,0.571428571428571,0,0.8,0,1,1,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Loroum_Ouindigui",0,0,1,1,1,1,0,0.333333333333333,0,1,1,0,1,0,1,1,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Loroum_Solle",0,0.166666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.166666666666667,1,1,0,0.833333333333333,0.5,1,0,1,0.166666666666667,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Loroum_Titao",0,0.166666666666667,0.75,0.916666666666667,0.833333333333333,0.583333333333333,0,0.25,0.666666666666667,0.333333333333333,1,0.333333333333333,0.888888888888889,0,0.833333333333333,0.833333333333333,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Menaka_menaka",0,0.4,0.6,0.6,0.4,0.7,0.6,1,0.2,0.8,0.2,0.3,1,0.1,0.8,0.1,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Mopti_Bassirou",0,0,0,0,1,1,0,1,0,1,0.5,0,NA,0,0,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Mopti_Borondougou",0,0,0.5,0.5,0.5,1,0.5,0,0,1,0.5,0,1,0,0.5,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Mopti_Dialloube",0,0,0.5,0.5,0.5,1,1,1,1,0,0,0,NA,0,0,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Mopti_Fatoma",0,0,1,1,1,1,0,1,0,1,0.5,0,1,0,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Mopti_Konna",0,0,0.333333333333333,0,0.666666666666667,1,0.333333333333333,1,0,1,0.333333333333333,0,1,0,0.333333333333333,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Mopti_Korombana",0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,1,1,0,1,0,1,0.666666666666667,0,1,0,0.333333333333333,0.666666666666667,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Mopti_Koubaye",0,0,0.333333333333333,0.333333333333333,1,1,0.333333333333333,1,0,1,0,0,NA,0,0,0.666666666666667,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Mopti_Kounari",0.333333333333333,0.333333333333333,0.333333333333333,1,0.333333333333333,1,0.333333333333333,1,0.333333333333333,0.666666666666667,0.333333333333333,0,1,0,0.333333333333333,0.666666666666667,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Mopti_Mopti Commune",0,0,0.5,0.5,1,1,0,1,0,1,1,0,1,0,0,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Mopti_Ouro Modi",0,0,0,0,0.5,1,0.5,1,0,1,0.5,0,NA,0,0,0.5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Mopti_Ouroube Doude",0,0,0.5,1,0.5,1,0.5,1,0,1,0,0,NA,0,0.5,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Mopti_Sasalbe",0,0,0.5,0.5,0.5,1,0.5,0,0,1,0,0,NA,0,0.5,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Mopti_Sio",0,0.5,0,0,0.5,1,0,1,0.5,0.5,0,0,1,0,0.5,0.5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Mopti_Socoura",0,0,0.333333333333333,0.666666666666667,1,1,0.333333333333333,0.666666666666667,0,1,0.333333333333333,0,1,0,0.333333333333333,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Mopti_Soye",0,0,0.666666666666667,1,0,1,0.333333333333333,1,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,NA,0,1,0.666666666666667,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Namentenga_Boala",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
