dep_com;idp_refugie_last_month;idp_refugie_3_months;food_access_no;mean_existence_access_no;market_access;security_feeling_no;health_access_no;education_access_no;diff_info_access;diff_info_access_no;nutri_programme;enough_water_access_no;pdi_vivant_cond_adeq_no;abris_dommages;procuration_savon;tel_mobile;settlement_assessed_num;ki_num;n;dep_percentage
filingue_imanan;0,00000000;0,00000000;0,41666667;0,66666667;1,0000000;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;0,75000000;0,3333333;NA;0,00000000;0,5833333;0,75000000;12;16; 85;0,14117647
filingue_kourfeye_centre;0,00000000;0,00000000;0,71428571;0,42857143;1,0000000;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;0,57142857;1,0000000;NA;0,00000000;0,7142857;0,85714286; 7;10;133;0,05263158
filingue_tondikandia;0,00000000;0,00000000;0,50000000;0,25000000;1,0000000;0,16666667;0,00000000;0,00000000;0,00000000;1,0000000;0,16666667;0,8333333;NA;0,00000000;0,5833333;1,00000000;12;23;227;0,05286344
gao_anchawadi;0,38461538;0,38461538;0,69230769;0,46153846;0,3846154;0,84615385;0,76923077;0,84615385;0,00000000;1,0000000;0,15384615;0,6153846;0,8888889;0,00000000;0,7692308;0,38461538;13;14; 33;0,39393939
gao_gabero;0,00000000;0,05555556;0,27777778;0,27777778;0,7777778;0,61111111;0,27777778;0,05555556;0,27777778;0,7222222;0,38888889;0,2777778;0,0000000;0,11111111;0,5000000;0,27777778;18;18; 38;0,47368421
gao_gao;1,00000000;1,00000000;1,00000000;1,00000000;1,0000000;0,00000000;0,00000000;1,00000000;0,00000000;1,0000000;0,00000000;1,0000000;1,0000000;1,00000000;1,0000000;0,00000000; 1; 1; 11;0,09090909
gao_gounzoureye;0,00000000;0,00000000;0,10526316;0,15789474;0,8947368;0,31578947;0,05263158;0,00000000;0,10526316;0,8947368;0,73684211;0,1052632;NA;0,00000000;0,5263158;0,57894737;19;19; 34;0,55882353
gao_n_tillit;0,11111111;0,77777778;0,55555556;0,44444444;0,7777778;1,00000000;0,77777778;0,88888889;0,55555556;0,4444444;0,11111111;0,5555556;0,8750000;0,22222222;0,6666667;0,44444444; 9; 9; 17;0,52941176
gao_sony_aliber;0,00000000;0,10000000;0,30000000;0,20000000;1,0000000;0,25000000;0,00000000;0,00000000;0,10000000;0,8500000;0,65000000;0,1500000;0,0000000;0,05000000;0,4000000;0,35000000;20;20; 58;0,34482759
gao_tilemsi;0,15384615;0,23076923;0,53846154;0,46153846;0,7692308;0,23076923;0,69230769;0,92307692;0,53846154;0,4615385;0,07692308;0,5384615;0,6666667;0,15384615;0,7692308;0,46153846;13;13;NA;NA
gnagna_bilanga;0,00000000;0,46153846;0,07692308;0,15384615;1,0000000;0,07692308;0,00000000;0,00000000;0,23076923;0,7692308;1,00000000;0,6153846;0,8333333;0,07692308;0,4615385;0,61538462;13;13; 60;0,21666667
gnagna_bogande;0,08333333;0,50000000;0,33333333;0,16666667;1,0000000;0,25000000;0,00000000;0,00000000;0,33333333;0,6666667;1,00000000;0,7500000;0,9090909;0,08333333;0,8333333;0,83333333;12;12; 51;0,23529412
gnagna_koala;0,25000000;0,37500000;0,37500000;0,37500000;1,0000000;0,62500000;0,00000000;0,81250000;0,18750000;0,8125000;1,00000000;0,6875000;0,4615385;0,00000000;0,9375000;0,81250000;16;18; 94;0,17021277
gnagna_liptougou;0,11111111;0,11111111;0,33333333;0,55555556;1,0000000;0,66666667;0,11111111;1,00000000;0,55555556;0,4444444;0,88888889;0,8888889;1,0000000;0,00000000;0,6666667;0,44444444; 9;11; 65;0,13846154
gnagna_mani;0,00000000;0,00000000;0,50000000;0,00000000;1,0000000;1,00000000;0,00000000;0,00000000;0,33333333;0,6666667;1,00000000;0,6666667;0,6666667;0,00000000;0,5000000;0,50000000; 6; 6; 28;0,21428571
gnagna_piela;0,00000000;0,00000000;0,55555556;0,33333333;1,0000000;0,88888889;0,00000000;0,00000000;0,33333333;0,6666667;1,00000000;0,6666667;0,4285714;0,00000000;1,0000000;0,55555556; 9; 9; 25;0,36000000
gnagna_thion;0,40000000;0,40000000;0,40000000;0,40000000;1,0000000;0,60000000;0,00000000;0,00000000;0,40000000;0,6000000;1,00000000;0,8000000;1,0000000;0,20000000;0,8000000;0,80000000; 5; 5; 18;0,27777778
