State_Id;id_grid;idp_refugie_last_month;idp_refugie_3_months;food_access_no;mean_existence_access_no;market_access;security_feeling_no;health_access_no;education_access_no;diff_info_access;diff_info_access_no;nutri_programme;enough_water_access_no;pdi_vivant_cond_adeq_no;abris_dommages;procuration_savon;tel_mobile;settlement_assessed_num;ki_num
Tillaberi2324; 727;0,0000000;0,00000000;0,6000000;0,00000000;1,0000000;0,2000000;0,0000000;0,20000000;0,00000000;1,0000000;1,0000000;0,40000000;1,0000000;0,20000000;0,6000000;1,0000000;16;10
Tillaberi2328; 731;0,0000000;0,00000000;0,6666667;0,00000000;1,0000000;0,0000000;0,3333333;0,00000000;0,00000000;1,0000000;0,6666667;0,33333333;NA;0,00000000;0,3333333;0,3333333;16; 4
Tillaberi2474; 812;0,0000000;0,00000000;0,0000000;0,00000000;1,0000000;0,3333333;0,0000000;0,33333333;0,00000000;1,0000000;0,3333333;0,66666667;NA;0,00000000;0,6666667;1,0000000;16; 4
Tillaberi2475; 813;0,0000000;0,00000000;0,5000000;0,00000000;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;0,5000000;0,50000000;NA;0,00000000;0,5000000;1,0000000;16; 2
Tillaberi2476; 814;0,0000000;0,00000000;0,5000000;0,00000000;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;0,7500000;0,00000000;NA;0,00000000;0,2500000;1,0000000;16; 4
Tillaberi2477; 815;0,0000000;0,00000000;0,0000000;0,00000000;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;0,00000000;NA;0,00000000;1,0000000;1,0000000;16; 1
Tillaberi2478; 816;0,0000000;0,00000000;0,0000000;0,00000000;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;0,00000000;NA;0,00000000;1,0000000;1,0000000;16; 3
Tillaberi2625; 910;0,0000000;0,00000000;0,7142857;0,42857143;1,0000000;0,7142857;0,0000000;0,28571429;0,00000000;1,0000000;0,7142857;0,42857143;NA;0,00000000;0,4285714;1,0000000;16; 9
Tillaberi2626; 911;0,0000000;0,00000000;0,0000000;0,00000000;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;0,00000000;NA;0,00000000;1,0000000;1,0000000;16; 2
Tillaberi2627; 912;0,0000000;0,00000000;0,5000000;0,00000000;1,0000000;0,5000000;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;0,00000000;NA;0,00000000;0,0000000;1,0000000;16; 3
Tillaberi2628; 913;0,0000000;0,00000000;0,2857143;0,28571429;1,0000000;0,1428571;0,0000000;0,14285714;0,28571429;0,7142857;0,7142857;0,42857143;NA;0,28571429;0,5714286;0,8571429;16;12
Tillaberi2774;1019;0,0000000;0,00000000;1,0000000;1,00000000;1,0000000;1,0000000;0,0000000;1,00000000;0,00000000;1,0000000;0,0000000;1,00000000;NA;0,00000000;1,0000000;1,0000000;16; 1
Tillaberi2775;1020;0,0000000;0,00000000;0,3333333;1,00000000;1,0000000;0,6666667;0,0000000;0,66666667;0,00000000;1,0000000;0,3333333;0,66666667;NA;0,00000000;0,6666667;1,0000000;16; 4
Tillaberi2777;1022;0,0000000;0,00000000;0,0000000;0,00000000;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;0,00000000;NA;0,00000000;0,0000000;0,0000000;16; 2
Tillaberi2923;1140;0,0000000;0,00000000;1,0000000;1,00000000;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;1,00000000;NA;0,00000000;1,0000000;1,0000000;16; 2
Tillaberi3070;1267;0,0000000;0,00000000;0,8888889;0,11111111;1,0000000;0,1111111;0,0000000;0,44444444;0,11111111;0,8888889;0,8888889;0,55555556;NA;0,00000000;0,5555556;0,7777778;16;10
Tillaberi3071;1268;0,0000000;0,00000000;0,5000000;0,50000000;1,0000000;0,5000000;0,0000000;0,50000000;0,50000000;0,5000000;1,0000000;0,75000000;NA;0,00000000;1,0000000;0,7500000;16; 9
Tillaberi3072;1269;0,0000000;0,00000000;0,8333333;0,16666667;1,0000000;0,0000000;0,0000000;0,00000000;0,16666667;0,8333333;1,0000000;0,66666667;NA;0,00000000;0,3333333;1,0000000;16;16
Tillaberi3073;1270;0,0000000;0,00000000;1,0000000;0,42857143;1,0000000;0,1428571;0,0000000;0,00000000;0,00000000;1,0000000;0,7142857;1,00000000;NA;0,00000000;0,4285714;0,7142857;16;16
Tillaberi3074;1271;0,0000000;0,00000000;0,8000000;0,30000000;1,0000000;0,2000000;0,0000000;0,00000000;0,10000000;0,9000000;1,0000000;0,70000000;NA;0,10000000;0,4000000;0,7000000;16;25
Tillaberi3075;1272;0,0000000;0,00000000;0,0000000;0,00000000;1,0000000;0,0000000;0,0000000;0,00000000;1,00000000;0,0000000;1,0000000;0,00000000;NA;0,00000000;1,0000000;1,0000000;16; 1
Tillaberi3076;1273;0,0000000;0,00000000;1,0000000;1,00000000;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;0,0000000;0,00000000;NA;0,00000000;1,0000000;1,0000000;16; 1
